# This is the structure of each line (generation_num and fitness values are ignored when a genome file is loaded):
# robot_wheel_radius motor_ctrl_coefficient motor_ctrl_min_actuator_value sensor_delta_direction sensor_saturation_value sensor_max_distance generation_num fitness
9.201027523502761 544.070608662621 12.121520965522791 0.7258612120056808 70.37601593495081 63.03577126019471 4 1987.337719693622
16.29667208903673 511.92365364341964 10.060838807023973 0.7595883409770785 46.29621216116547 147.3947672428672 4 1953.7783473529855
14.163227019097366 588.1965598334131 20.399357798125678 0.6973468747308627 20.962918943705585 68.91060935483333 4 1925.6042247880334
9.201027523502761 560.5561911737278 12.802248433992347 0.6776600017940932 76.94071572927902 66.79988957103446 4 1867.1800038183278
14.533238648883547 511.92365364341964 10.060838807023973 0.978315408850137 46.0507756231421 28.919982278490025 2 1827.0471604221696
29.798779259366068 556.5239997391659 12.0263180438344 0.687594463142022 74.76551095592272 74.85111487228762 3 1805.5924544358581
14.533238648883547 588.1965598334131 10.060838807023973 0.687594463142022 20.962918943705585 74.85111487228762 4 1795.7208978777414
22.042420107746242 560.5561911737278 13.032397636932574 0.6913861944695215 70.60330050124371 66.04447156968476 2 1705.1247489339214
14.533238648883547 511.92365364341964 12.0263180438344 0.978315408850137 74.76551095592272 28.919982278490025 4 1530.7698438646223
9.417979472305202 556.5239997391659 20.177901386817325 0.6874313934072288 20.625737067850423 139.28298895603527 4 1386.6071649097894
22.042420107746242 588.1965598334131 13.032397636932574 0.6776600017940932 70.60330050124371 66.04447156968476 4 1266.1457733939303
22.042420107746242 552.2231980239421 13.032397636932574 0.6913861944695215 70.60330050124371 66.04447156968476 4 1259.783872313597
22.042420107746242 588.1965598334131 13.032397636932574 0.6776600017940932 70.60330050124371 68.49160420543014 4 1259.006552905736
22.042420107746242 560.5561911737278 12.121520965522791 0.6913861944695215 70.60330050124371 66.04447156968476 4 1258.5535932599757
22.042420107746242 513.9320565559697 13.032397636932574 0.6874313934072288 70.60330050124371 70.84242613853408 4 1254.7090758398065
9.40521021608113 556.5239997391659 12.41467422962965 0.6874313934072288 22.07048608092739 139.28298895603527 4 1163.6611848633356
29.798779259366068 560.5561911737278 12.765184024299552 0.7595883409770785 71.90794528689467 139.28298895603527 4 1126.3915980583772
9.201027523502761 560.5561911737278 10.060838807023973 0.6976929069829348 71.90794528689467 135.93616510104488 4 1079.579999288148
22.042420107746242 560.5561911737278 10.060838807023973 0.6913861944695215 68.61054689152957 139.41741948103527 4 1072.8852633287115
30 560.5561911737278 12.0263180438344 0.7386901390484666 66.14925765445575 74.85111487228762 4 840.0974756153026
30 546.8751763717606 20.399357798125678 0.687594463142022 67.13286061600276 79.64094159184496 4 805.7578920261844
22.042420107746242 560.5561911737278 12.93793642784798 0.7581543253439037 46.0507756231421 66.04447156968476 4 799.6204091531408
29.798779259366068 107.59363220798696 12.676732057373789 0.6874313934072288 22.07048608092739 139.28298895603527 4 794.6941826299449
9.241999501155275 588.1965598334131 20.399357798125678 0.36995500603586556 20 69.73235601066226 4 792.7510813531627
14.295102248234942 511.92365364341964 12.743805156668895 0.978315408850137 70.60330050124371 28.919982278490025 4 481.4489181415884
9.201027523502761 560.5561911737278 12.121520965522791 0.978315408850137 70.60330050124371 66.04447156968476 4 460.0487172064371
14.533238648883547 511.92365364341964 20.399357798125678 0.978315408850137 69.0894965597428 61.23584106192363 4 459.8741591052243
14.233518508104616 107.59363220798696 10 0.7230145938328918 46.0507756231421 70.84242613853408 4 451.1558705445239
22.042420107746242 469.26055646843923 20.399357798125678 0.36995500603586556 71.90794528689467 75.46024345693992 4 445.6019735172282
29.798779259366068 588.1965598334131 10.060838807023973 0.7595883409770785 71.90794528689467 139.28298895603527 4 241.65583567184038
